TrialID,SubjID,block,btrial,tord,RT,Selection
1,1,24,1,1,11066,0
2,1,24,2,2,3925,0
3,1,24,3,3,2694,0
4,1,24,4,4,8953,1
5,1,24,5,5,4096,1
6,1,22,1,6,5207,0
7,1,22,2,7,4637,0
8,1,22,3,8,2233,0
9,1,22,4,9,3115,1
10,1,22,5,10,3145,0
11,1,23,1,11,5488,1
12,1,23,2,12,7291,0
13,1,23,3,13,2013,0
14,1,23,4,14,2543,0
15,1,23,5,15,6960,0
16,1,12,1,16,5468,1
17,1,12,2,17,3685,1
18,1,12,3,18,2313,1
19,1,12,4,19,1842,1
20,1,12,5,20,6739,0
21,1,3,1,21,12108,1
22,1,3,2,22,5458,0
23,1,3,3,23,1652,1
24,1,3,4,24,3374,0
25,1,3,5,25,6730,0
26,1,17,1,26,4307,0
27,1,17,2,27,10105,1
28,1,17,3,28,2383,1
29,1,17,4,29,2514,1
30,1,17,5,30,2103,0
31,1,6,1,31,5477,0
32,1,6,2,32,6840,1
33,1,6,3,33,1542,1
34,1,6,4,34,2284,1
35,1,6,5,35,6499,0
36,1,13,1,36,5178,1
37,1,13,2,37,5437,1
38,1,13,3,38,2093,1
39,1,13,4,39,4507,1
40,1,13,5,40,4306,1
41,1,9,1,41,4266,0
42,1,9,2,42,7691,1
43,1,9,3,43,1963,0
44,1,9,4,44,2984,0
45,1,9,5,45,13139,1
46,1,11,1,46,6920,1
47,1,11,2,47,11847,1
48,1,11,3,48,3435,0
49,1,11,4,49,5558,1
50,1,11,5,50,8823,0
51,1,10,1,51,7621,0
52,1,10,2,52,4466,0
53,1,10,3,53,2463,1
54,1,10,4,54,2533,1
55,1,10,5,55,8743,0
56,1,18,1,56,7371,1
57,1,18,2,57,4146,1
58,1,18,3,58,3325,0
59,1,18,4,59,4397,1
60,1,18,5,60,5148,0
61,1,21,1,61,9143,0
62,1,21,2,62,7551,1
63,1,21,3,63,1572,1
64,1,21,4,64,4376,0
65,1,21,5,65,4266,1
66,1,5,1,66,4686,1
67,1,5,2,67,5848,1
68,1,5,3,68,2314,0
69,1,5,4,69,2523,1
70,1,5,5,70,7030,1
71,1,14,1,71,6159,0
72,1,14,2,72,9414,0
73,1,14,3,73,2032,0
74,1,14,4,74,4096,0
75,1,14,5,75,4286,0
76,1,7,1,76,10495,1
77,1,7,2,77,7641,1
78,1,7,3,78,2123,1
79,1,7,4,79,4096,0
80,1,7,5,80,8712,0
81,1,19,1,81,6779,1
82,1,19,2,82,8642,0
83,1,19,3,83,2494,0
84,1,19,4,84,4357,0
85,1,19,5,85,4466,0
86,1,15,1,86,6740,1
87,1,15,2,87,3455,1
88,1,15,3,88,1732,0
89,1,15,4,89,1862,0
90,1,15,5,90,3846,0
